timestamp,name,stone,path,augment 1,augment 2,augment 3,augment 4,augment5
2016:10:07 18:40:06,Merlinic Crackows,fern,magic,"Fast Cast"+2,none,none,none,none
2016:10:07 18:40:12,Merlinic Crackows,fern,magic,Mag. Acc.+6,Phys. dmg. taken -1%,CHR+1,none,none
2016:10:07 18:40:17,Merlinic Crackows,fern,magic,Enmity-1,Mag. Acc.+15,"Mag.Atk.Bns."+8,none,none
2016:10:07 18:40:22,Merlinic Crackows,fern,magic,"Fast Cast"+2,Mag. Acc.+2,none,none,none
2016:10:07 18:40:28,Merlinic Crackows,fern,magic,Magic burst mdg.+9%,CHR+3,Mag. Acc.+7,"Mag.Atk.Bns."+3,none
2016:10:07 18:40:34,Merlinic Crackows,fern,magic,Magic burst mdg.+10%,MND+9,none,none,none
2016:10:07 18:40:40,Merlinic Crackows,fern,magic,"Occult Acumen"+10,CHR+8,"Mag.Atk.Bns."+10,none,none
2016:10:07 18:40:46,Merlinic Crackows,fern,magic,Mag. Acc.+14,Mag. crit. hit dmg. +3%,INT+8,none,none
2016:10:07 18:40:52,Merlinic Crackows,fern,magic,"Mag.Atk.Bns."+29,Magic burst mdg.+9%,Mag. Acc.+6,none,none
2016:10:07 18:41:06,Merlinic Crackows,fern,magic,"Mag.Atk.Bns."+10,"Fast Cast"+2,CHR+4,Mag. Acc.+4,none
2016:10:07 18:41:12,Merlinic Crackows,fern,magic,"Mag.Atk.Bns."+29,Magic Damage +15,INT+7,none,none
2016:10:07 18:41:18,Merlinic Crackows,fern,magic,Enmity-2,"Mag.Atk.Bns."+5,none,none,none
2016:10:07 18:41:23,Merlinic Crackows,fern,magic,Attack+6,"Drain" and "Aspir" potency +7,CHR+1,none,none
2016:10:07 18:41:28,Merlinic Crackows,fern,magic,Magic burst mdg.+8%,MND+2,"Mag.Atk.Bns."+8,none,none
2016:10:07 18:41:34,Merlinic Crackows,fern,magic,"Mag.Atk.Bns."+27,"Fast Cast"+2,INT+1,none,none
2016:10:07 18:41:39,Merlinic Crackows,fern,magic,Magic burst mdg.+4%,CHR+10,none,none,none
2016:10:07 18:41:45,Merlinic Crackows,fern,magic,Mag. crit. hit dmg. +6%,Mag. Acc.+12,none,none,none
2016:10:07 18:41:51,Merlinic Crackows,fern,magic,"Mag.Atk.Bns."+30,"Fast Cast"+2,none,none,none
2016:10:07 18:41:57,Merlinic Crackows,fern,magic,Magic dmg. taken -3%,CHR+9,Mag. Acc.+10,none,none
2016:10:07 18:42:03,Merlinic Crackows,fern,magic,Mag. Acc.+24 "Mag.Atk.Bns."+24,"Drain" and "Aspir" potency +6,CHR+2,"Mag.Atk.Bns."+9,none
2016:10:07 18:42:10,Merlinic Crackows,fern,magic,"Occult Acumen"+1,Mag. Acc.+7,"Mag.Atk.Bns."+14,none,none
2016:10:07 18:42:16,Merlinic Crackows,fern,magic,Mag. crit. hit dmg. +10%,Mag. Acc.+6,none,none,none
2016:10:07 18:42:23,Merlinic Crackows,pellucid,magic,Mag. Acc.+18,"Conserve MP"+1,CHR+4,"Mag.Atk.Bns."+14,none
2016:10:07 18:42:28,Merlinic Crackows,pellucid,magic,Mag. Acc.+27,"Occult Acumen"+1,DEX+9,"Mag.Atk.Bns."+1,none
2016:10:07 18:42:34,Merlinic Crackows,pellucid,magic,Mag. Acc.+6 "Mag.Atk.Bns."+6,MND+1,none,none,none
2016:10:07 18:42:39,Merlinic Crackows,pellucid,magic,Mag. Acc.+23,"Mag.Atk.Bns."+1,none,none,none
2016:10:07 18:42:44,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+12,Mag. crit. hit dmg. +7%,none,none,none
2016:10:07 18:42:49,Merlinic Crackows,pellucid,magic,Mag. Acc.+3 "Mag.Atk.Bns."+3,Mag. crit. hit dmg. +10%,Mag. Acc.+12,"Mag.Atk.Bns."+1,none
2016:10:07 18:42:55,Merlinic Crackows,pellucid,magic,Attack+3,Damage taken-2%,Mag. Acc.+6,none,none
2016:10:07 18:43:01,Merlinic Crackows,pellucid,magic,Mag. Acc.+11 "Mag.Atk.Bns."+11,INT+7,"Mag.Atk.Bns."+2,none,none
2016:10:07 18:43:06,Merlinic Crackows,pellucid,magic,Accuracy+7,Mag. crit. hit dmg. +10%,Mag. Acc.+5,"Mag.Atk.Bns."+11,none
2016:10:07 18:43:15,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+7,Damage taken-1%,none,none,none
2016:10:07 18:43:21,Merlinic Crackows,pellucid,magic,Mag. Acc.+10,INT+1,"Mag.Atk.Bns."+14,none,none
2016:10:07 18:43:26,Merlinic Crackows,pellucid,magic,Attack+22,"Conserve MP"+3,MND+5,"Mag.Atk.Bns."+1,none
2016:10:07 18:43:33,Merlinic Crackows,pellucid,magic,Mag. Acc.+16 "Mag.Atk.Bns."+16,"Drain" and "Aspir" potency +2,"Mag.Atk.Bns."+6,none,none
2016:10:07 18:43:39,Merlinic Crackows,pellucid,magic,Accuracy+8,"Fast Cast"+1,CHR+8,none,none
2016:10:07 18:43:44,Merlinic Crackows,pellucid,magic,Accuracy+15,Mag. Acc.+13,none,none,none
2016:10:07 18:43:50,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+5,Magic Damage +14,STR+6,Mag. Acc.+9,none
2016:10:07 18:43:56,Merlinic Crackows,pellucid,magic,Mag. Acc.+16,Mag. crit. hit dmg. +3%,"Mag.Atk.Bns."+8,none,none
2016:10:07 18:44:02,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+29,"Drain" and "Aspir" potency +4,MND+9,none,none
2016:10:07 18:44:08,Merlinic Crackows,pellucid,magic,Mag. Acc.+26,"Occult Acumen"+4,none,none,none
2016:10:07 18:44:14,Merlinic Crackows,pellucid,magic,Mag. Acc.+22 "Mag.Atk.Bns."+22,none,none,none,none
2016:10:07 18:44:20,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+25,"Occult Acumen"+5,none,none,none
2016:10:07 18:44:25,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+19,"Drain" and "Aspir" potency +3,Mag. Acc.+3,none,none
2016:10:07 18:44:31,Merlinic Crackows,pellucid,magic,Mag. Acc.+17,Enmity-3,INT+3,none,none
2016:10:07 18:44:36,Merlinic Crackows,pellucid,magic,Mag. Acc.+12 "Mag.Atk.Bns."+12,Enmity-2,none,none,none
2016:10:07 18:44:43,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+1,"Fast Cast"+1,INT+2,none,none
2016:10:07 18:44:49,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+30,Magic burst mdg.+6%,MND+4,Mag. Acc.+15,none
2016:10:07 18:44:56,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+15,"Conserve MP"+7,Mag. Acc.+15,none,none
2016:10:07 18:45:04,Merlinic Crackows,pellucid,magic,Mag. Acc.+22 "Mag.Atk.Bns."+22,Enmity-1,CHR+7,Mag. Acc.+2,none
